                   l            thetaxbin         thetaxbindev            thetaybin         thetaybindev            thetazbin         thetazdevbin
 l=         100
                   1    -0.49391853992971     0.00575916556114    -0.46184267522157     0.01570654602254     0.95576121515128     0.01799287040438
                   2    -0.49237382369647     0.00867312830485    -0.45915542876512     0.02189883260989     0.95152925246159     0.02831000434721
                   3    -0.49475896823422     0.00809744943757    -0.47452739734227     0.01725787750911     0.96928636557649     0.02315943456707
                   4    -0.49742480770739     0.00214380373970    -0.47549581439992     0.00949936833166     0.97292062210731     0.01027302081861
                   5    -0.49259347855501     0.00788232683073    -0.45447647843734     0.02334331089234     0.94706995699235     0.02773809204464
                   6    -0.49162989549057     0.01412293535726    -0.45662235112991     0.03367549715821     0.94825224662048     0.04115879857074
                   7    -0.48941478459455     0.00788132175451    -0.42792868019793     0.02425991604568     0.91734346479248     0.02328092054848
                   8    -0.49349635989637     0.00601269752724    -0.41452381445691     0.02991357343724     0.90802017435328     0.03267358126419
                   9    -0.49586875210881     0.00530241188485    -0.47616426173121     0.01585729359896     0.97203301384002     0.01842549839611
                  10    -0.49505902129419     0.00684020450178    -0.47830558880379     0.01244293607977     0.97336461009798     0.01688653872225
                  11    -0.49244604883176     0.00775770550686    -0.43518572529371     0.02038206669673     0.92763177412547     0.02411524696453
                  12    -0.49449520369275     0.00480397952983    -0.44092143887759     0.02795681929016     0.93541664257035     0.03024574872278
                  13    -0.48462762701111     0.00940593063476    -0.44612805312362     0.02061755082323     0.93075568013472     0.02323307010292
                  14    -0.48593692400983     0.01162141565027    -0.43087259135185     0.01888669144812     0.91680951536168     0.01940664585903
                  15    -0.49502794275352     0.00725994374056    -0.46925372114526     0.02382289116119     0.96428166389878     0.02772595733390
                  16    -0.49523398084507     0.00364001861433    -0.45737229002907     0.01739929056366     0.95260627087414     0.01825794349116
                  17    -0.48965159801767     0.01011506017455    -0.46248472518715     0.01645854039994     0.95213632320482     0.02129549757267
                  18    -0.49309051911046     0.00920740617780    -0.47353271117395     0.01416711437844     0.96662323028442     0.02056680069782
                  19    -0.49313240903788     0.00641813479837    -0.46670931375283     0.01515414471353     0.95984172279071     0.01934554614230
                  20    -0.49054508642541     0.00865002066109    -0.47403815901448     0.01426230298388     0.96458324543989     0.01604535330340
                  21    -0.48431242800035     0.01865042071956    -0.46046571724964     0.01806413245262     0.94477814525000     0.02846279529086
                  22    -0.48488649292340     0.01614860043872    -0.44976861164403     0.02467746154811     0.93465510456744     0.03419205249681
                  23    -0.49319406793667     0.00733194389422    -0.44735686420280     0.03111977461353     0.94055093213947     0.03713742263100
                  24    -0.49496996602341     0.00574110499924    -0.46025101316844     0.02876203734953     0.95522097919186     0.03272541033127
                  25    -0.49452321944360     0.00564878856617    -0.47899063382319     0.01785913592780     0.97351385326679     0.02316131538808
                  26    -0.49690956075501     0.00180140507591    -0.48605748596979     0.00541568622724     0.98296704672480     0.00670196269353
                  27    -0.49547731662168     0.00382171380941    -0.44955201591510     0.02640038404563     0.94502933253679     0.02892632962878
                  28    -0.48781121889506     0.01155405443618    -0.43781269909524     0.02370685327803     0.92562391799030     0.03016573174343
                  29    -0.49046519674991     0.01088140458373    -0.45388140286761     0.02637378919926     0.94434659961752     0.02696855484292
                  30    -0.48123170227818     0.02173314277806    -0.45349955877473     0.02159963831973     0.93473126105291     0.02941640199493
                  31    -0.49358055112251     0.01010848480355    -0.48094819038534     0.01210660273041     0.97452874150785     0.02006349445620
                  32    -0.49539539835967     0.00515470117812    -0.46069407694526     0.01807236751890     0.95608947530493     0.01992358717615
                  33    -0.48900433590618     0.00872279655515    -0.46523964074749     0.01419054277038     0.95424397665367     0.01895064889712
                  34    -0.49539416082525     0.00348664233124    -0.47320516875582     0.01995406525335     0.96859932958107     0.02232246282060
                  35    -0.49400340248803     0.00461626477333    -0.38563708153227     0.04254267006188     0.87964048402030     0.04368661846745
                  36    -0.48586636723369     0.01783968307839    -0.42099299878078     0.04081299448647     0.90685936601448     0.04555355251717
                  37    -0.49534558749618     0.00478331420854    -0.46866402148349     0.01757237470425     0.96400960897967     0.01903478038846
                  38    -0.49362945708208     0.00544994051295    -0.46230341340076     0.01833837693713     0.95593287048284     0.02209077155654
                  39    -0.49010762144789     0.01125216977208    -0.46416806485681     0.02753123979554     0.95427568630470     0.03689864905815
                  40    -0.49129733643935     0.00811939643344    -0.45702533895453     0.02635783886242     0.94832267539388     0.03024652542752
                  41    -0.49351780335337     0.00644337842369    -0.44698914088260     0.02523642192192     0.94050694423598     0.02965213884265
                  42    -0.49539015920377     0.00282491104846    -0.44087259185543     0.02600707366943     0.93626275105920     0.02770075357338
                  43    -0.49116755205508     0.00762518520974    -0.45770054808683     0.02207360103189     0.94886810014191     0.02572741259541
                  44    -0.49067678663242     0.00931819570894    -0.45490167683188     0.01993786200507     0.94557846346430     0.02603985856823
                  45    -0.49559442999681     0.00452450580920    -0.46398154661519     0.02379274400853     0.95957597661200     0.02713282888613
                  46    -0.49558390981027     0.00347229624952    -0.46319068262775     0.02604898330637     0.95877459243802     0.02787325814338
                  47    -0.49363089819695     0.00444596018147    -0.47402654782164     0.01356685683267     0.96765744601858     0.01675869043748
                  48    -0.48827079037434     0.01040294472960    -0.43823048538671     0.02680187056564     0.92650127576105     0.03006720055786
                  49    -0.48647026551546     0.01696700894816    -0.46103958478929     0.02438008070947     0.94750985030475     0.03821851656365
                  50    -0.48557089862672     0.01258769826201    -0.45066557441392     0.02739073927383     0.93623647304064     0.03604111196558
                  51    -0.49543149981306     0.00393560657437    -0.46744891151401     0.01635080364566     0.96288041132707     0.01821914933201
                  52    -0.49409560735350     0.00387930079964    -0.46664024395920     0.01654793318021     0.96073585131270     0.01796908057305
                  53    -0.49574389238691     0.00346281434797    -0.48314077576440     0.00811182876159     0.97888466815130     0.01038827780364
                  54    -0.49387669223396     0.00565250406009    -0.46656950394408     0.01801964444287     0.96044619617804     0.02321000786250
                  55    -0.49233186372732     0.00678287656736    -0.44781663121407     0.02334683294374     0.94014849494139     0.02726490016449
                  56    -0.49742113500880     0.00189867459694    -0.46417363919389     0.01933767191405     0.96159477420269     0.02024258283567
                  57    -0.48944316030273     0.00776365446837    -0.44012187556015     0.01464697128015     0.92956503586288     0.01692613953588
                  58    -0.48756444272208     0.01771945428055    -0.44382438437581     0.02119162775015     0.93138882709789     0.03506729098472
                  59    -0.48985432643576     0.01035085210954    -0.44589814308274     0.02634557074941     0.93575246951850     0.03244262448584
                  60    -0.48827004642935     0.01015408525359    -0.42450641425539     0.02210943249397     0.91277646068474     0.02533342462589
                  61    -0.48524271223675     0.01026816713985    -0.42665254815008     0.02938672024041     0.91189526038682     0.03253853959632
                  62    -0.49206955440397     0.00755728845706    -0.43710195184008     0.02934520404984     0.92917150624405     0.03304697255926
                  63    -0.49144819442832     0.00824699856019    -0.44224938881498     0.02955275816842     0.93369758324330     0.03279132404753
                  64    -0.48615498880653     0.01347443953272    -0.43599866369542     0.02402641321682     0.92215365250195     0.02939979219807
                  65    -0.49672664139907     0.00265788736902    -0.47915715519282     0.00962411470581     0.97588379659189     0.01198299834175
                  66    -0.49492191206904     0.00379968456942    -0.47852226548348     0.01670184353746     0.97344417755252     0.01818557684656
                  67    -0.49161905174172     0.00769710349203    -0.44381093206341     0.02759610918156     0.93542998380513     0.03020653925657
                  68    -0.48888880264234     0.00719883087398    -0.41164110156650     0.02976509084691     0.90052990420884     0.03206107851711
                  69    -0.49458853239924     0.00402752677154    -0.45358231071694     0.02529285847765     0.94817084311618     0.02645071994938
                  70    -0.49435029089515     0.00317948013455    -0.43907794911373     0.01673852457227     0.93342824000887     0.01809284726023
                  71    -0.49207703632446     0.01225336524543    -0.47474624133933     0.01061456637463     0.96682327766380     0.01943152031126
                  72    -0.49683297032351     0.00575866957705    -0.47377454559408     0.01736882817918     0.97060751591759     0.02190877834669
                  73    -0.49639377525024     0.00284415982373    -0.43343427529169     0.02740193627064     0.92982805054193     0.02769301963757
                  74    -0.49605528367844     0.00582210243236    -0.46374943376902     0.02838506403442     0.95980471744746     0.03055507664859
                  75    -0.48559711078169     0.01015721366768    -0.46620813395376     0.01358465688621     0.95180524473545     0.01830642130864
                  76    -0.48563731366337     0.01581099717531    -0.45776079777125     0.02062043942431     0.94339811143462     0.03246068967953
                  77    -0.49187743890230     0.00739254587340    -0.43612510735954     0.02670125986481     0.92800254626185     0.02967598263567
                  78    -0.49533600849613     0.00576838315801    -0.45005926968710     0.03237990619152     0.94539527818323     0.03472906063962
                  79    -0.49451994629816     0.00719216595412    -0.47618791690277     0.01018516449660     0.97070786320093     0.01395882249430
                  80    -0.49598568376742     0.00520480839261    -0.47619885509981     0.00998403224971     0.97218453886723     0.01432985563225
                  81    -0.49706314098903     0.00309429553096    -0.47762871953473     0.02022541122548     0.97469186052376     0.02265384373507
                  82    -0.49814179263127     0.00176918972898    -0.48673427420018     0.00714265015721     0.98487606683145     0.00849921392728
                  83    -0.49664693073922     0.00152082312150    -0.47430752504869     0.00949940321662     0.97095445578791     0.00962872139621
                  84    -0.49306693630833     0.00844466863847    -0.47062772202592     0.01104067018678     0.96369465833425     0.01465553981104
                  85    -0.49405385932749     0.00704154234729    -0.45228610316665     0.02432487173499     0.94633996249414     0.02477719487275
                  86    -0.49368579408084     0.00583604007518    -0.43705984213318     0.02805335602126     0.93074563621402     0.03046772339662
                  87    -0.49577798239399     0.00380420480101    -0.47703837251392     0.01274569841346     0.97281635490790     0.01416624467761
                  88    -0.49681548202181     0.00202605803017    -0.47980597841911     0.00999947515005     0.97662146044092     0.01096691365617
                  89    -0.49487480993504     0.00666156005765    -0.47325678538894     0.01469712970046     0.96813159532398     0.01729257870948
                  90    -0.49189129996159     0.00932673531582    -0.46576379441166     0.01615509711039     0.95765509437325     0.02050102874437
                  91    -0.49049866297807     0.01539403268880    -0.42683334251772     0.03212692777050     0.91733200549579     0.03383981949658
                  92    -0.49479166563611     0.00368181081767    -0.42964112293259     0.02896122446517     0.92443278856870     0.02893220079243
                  93    -0.49437240325612     0.00410676029931    -0.45758120607249     0.02045470160894     0.95195360932862     0.02134783435417
                  94    -0.49319328957478     0.00898833370844    -0.45312112350685     0.02385369525706     0.94631441308163     0.02697795765343
                  95    -0.49519162845909     0.00514360546251    -0.47091385023921     0.02327806794602     0.96610547869830     0.02550050897771
                  96    -0.49327186690662     0.00856598603860    -0.47274610200969     0.01353310755867     0.96601796891630     0.01756484920781
                  97    -0.49225058076212     0.01162911313458    -0.43196357875092     0.03722832503115     0.92421415951304     0.04162813141796
                  98    -0.49519561483995     0.00387224811213    -0.42389237924811     0.02653894261271     0.91908799408806     0.02741793880737
                  99    -0.49673784213813     0.00227994336129    -0.47514543926451     0.01446008750844     0.97188328140265     0.01609032423437
                 100    -0.49598881988406     0.00399997741736    -0.47989305262850     0.00871522558716     0.97588187251257     0.01095000441918
                 101    -0.49776488175239     0.00204414519846    -0.48444058615356     0.00991178419019     0.98220546790595     0.01162800477976
                 102    -0.49303694075488     0.00776174971959    -0.46269476049174     0.02321669380945     0.95573170124662     0.02929960732576
                 103    -0.49623189116984     0.00320372607670    -0.46965078717312     0.01428307897931     0.96588267834296     0.01596989244948
                 104    -0.49765001430395     0.00182931949017    -0.47464526485809     0.00780019560736     0.97229527916204     0.00816476729614
                 105    -0.49380481662314     0.00628634859849    -0.45368409841194     0.01663581703340     0.94748891503508     0.01868728327185
                 106    -0.49679717463408     0.00391044230090    -0.45768120046912     0.02655885347640     0.95447837510320     0.02949492414251
                 107    -0.49809088261943     0.00235861739530    -0.46758738935375     0.02190912977856     0.96567827197319     0.02270304635422
                 108    -0.49728103725187     0.00406730767306    -0.47465969085399     0.02231716304973     0.97194072810586     0.02558210295673
