                   l                    t                   g1
                   0         0.0000000000         0.0000000000
                   1         0.0000023068         0.0003871093
                   1         0.0000053057         0.0005806639
                   1         0.0000089965         0.0005806639
                   1         0.0000136101         0.0005806639
                   2         0.0000196078         0.0007742185
                   2         0.0000272203         0.0011613278
                   2         0.0000369089         0.0013548824
                   2         0.0000493656         0.0019355463
                   2         0.0000655133         0.0023226556
                   3         0.0000865052         0.0042582019
                   3         0.0001137255         0.0052259750
                   3         0.0001490196         0.0067744121
                   3         0.0001946943         0.0106455047
                   3         0.0002539792         0.0137423788
                   3         0.0003310265         0.0162585890
                   3         0.0004311419         0.0193554631
                   3         0.0005612457         0.0201296816
                   3         0.0007303345         0.0224523372
                   3         0.0009499423         0.0272912029
                   3         0.0012352941         0.0288396400
                   3         0.0016062284         0.0410335817
                   3         0.0020883506         0.0458724475
                   3         0.0027151096         0.0570986161
                   3         0.0035298731         0.0749056421
                   3         0.0045889273         0.0989064163
                   3         0.0059656286         0.1289073841
                   3         0.0077552480         0.1627794445
                   3         0.0100816609         0.2082647827
                   3         0.0131058824         0.2740733572
                   3         0.0170373702         0.3691086809
                   3         0.0221480969         0.4656924417
                   3         0.0287919262         0.5802767831
                   3         0.0374288351         0.6830542921
                   3         0.0486567474         0.8198974160
                   3         0.0632528258         0.9913868189
                   3         0.0822276817         1.2339107713
                   3         0.1068948097         1.4957901868
                   3         0.1389619377         1.9225781477
                   3         0.1806491350         2.4480789703
                   3         0.2348424452         3.0339688377
                   3         0.3052936563         3.7476047614
                   3         0.3968800461         4.5611148747
                   3         0.5159423298         5.6059227717
                   9         0.6707231834         6.7898964483
                  12         0.8719381776         8.2305235653
                  17         1.1335176470         9.7741217459
                  22         1.4735709344        12.7718958676
                  38         1.9156401387        15.1564889190
                  51         2.4903301043        18.3811090680
                  56         3.2374269904        21.8577373464
                  64         4.2086528270        26.2448466080
                  79         5.4712463684        30.9253846898
                  84         7.1126177646        37.0616471499
                  87         9.2464004644        44.9122229749
                 100        12.0203178818        54.8373173328
                 118        15.6264103861        66.1668440917
                 132        20.3143305392        79.7799283848
                 142        26.4086266884        97.4152714604
                 164        34.3312111748       116.6660214846
                 188        44.6305707303       139.7410239040
                 213        58.0197378756       165.7812832672
                 249        75.4256545938       195.1502951708
                 297        98.0533460132       228.0992935256
                 355       127.4693430131       268.8346075680
                 436       165.7101374519       314.4302719443
                 500       196.8930809754       352.6095035324
